No.,ProjectID,ProjectName,ProjectGroup,ProjectYearSubmit,PUserID,DepartmentTH,FacultyTH,MinistryTH,OrganizationTH,Sex,Age,AgeRange,Patent,Publication,Poject5Y,YoungResearcher,ProvinceTH,Region,Expert,AcademicPositionTH
11,1185,รูปแบบการจัดการขยะโดยชุมชนริมแม่น้ำโขง : กรณีศึกษาชุมชนท่าเสด็จ จังหวัดหนองคาย,การเปลี่ยนแปลงพฤติกรรมการทิ้งขยะ,2551,35508,มหาวิทยาลัยสวนดุสิต,คณะมนุษยศาสตร์และสังคมศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้ชาย,46,45-54,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,มี ,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,"การสร้างเสริมสุขภาวะทางจิตวิญญาณหรือด้านปัญญา (Spirituality),การวิจัยทางสังคมวิทยา,การวิจัยเชิงปฏิบัติการแบบมีส่วนร่วม (Participatory Action Research: PAR),การวิจัยภาคสนาม (Field Research)",ผู้ช่วยศาสตราจารย์
12,1212,การศึกษาปริมาณ จำแนกประเภท และแนวทางการจัดการมูลฝอยอันตรายจากบ้านเรือน ในพื้นที่ส่วนขยายของเมือง จังหวัดนนทบุรี,การเปลี่ยนแปลงพฤติกรรมการทิ้งขยะ,2551,19825,มหาวิทยาลัยสวนดุสิต,คณะวิทยาศาสตร์และเทคโนโลยี,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,47,45-54,ไม่มีสิทธิบัตร,มีผลงานตีพิมพ์,มี ,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,วิทยาศาสตร์สิ่งแวดล้อม เทคโนโลยีสิ่งแวดล้อม การจัดการสิ่งแวดล้อม,ผู้ช่วยศาสตราจารย์
13,1752,การนำน้ำย้อมกลับมาใช้โดยการกำจัดสีด้วยกระบวนการไฟฟ้าเคมี,การจัดการของเสียภายในโรงงาน,2551,21407,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะอุตสาหกรรมสิ่งทอ,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,56,55-64,ไม่มีสิทธิบัตร,มีผลงานตีพิมพ์,มี ,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,"การบำบัดน้ำเสีย,การลดและป้องกันมลพิษ,การพัฒนาวัสดุที่เป็นมิตรกับสิ่งแวดล้อม",รองศาสตราจารย์
14,1938,การศึกษาโปรตีนไหมเซอริซินเพื่อเพิ่มศักยภาพในการใช้ประโยชน์เชิงเศรษฐศาสตร์,นวัตกรรมและเทคโนโลยีการบริหารจัดการขยะ,2551,37264,มหาวิทยาลัยนเรศวร ,คณะเภสัชศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้ชาย,53,45-54,ไม่มีสิทธิบัตร,มีผลงานตีพิมพ์,มี ,ไม่ใช่นักวิจัยรุ่นใหม่,พิษณุโลก,ภาคกลาง,"Enzymology,Pharmaceutical Botany ",ไม่พบข้อมูล
15,1965,สำรวจสถานการณ์การจัดการสิ่งแวดล้อมขององค์กรท้องถิ่น เพื่อใช้พัฒนาเทคโนโลยีสื่อมุ่งเพิ่มศักยภาพ การจัดการน้ำเสีย ขยะ และการประปาหมู่บ้าน,การเปลี่ยนแปลงพฤติกรรมการทิ้งขยะ,2551,37761,มหาวิทยาลัยนเรศวร ,คณะเกษตรศาสตร์ทรัพยากรธรรมชาติและสิ่งแวดล้อม,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,52,45-54,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,พิษณุโลก,ภาคกลาง,สาขาเกษตรศาสตร์และทรัพยากรธรรมชาติ,ไม่พบข้อมูล
16,2110,"การศึกษาความสัมพันธ์ของพฤติกรรม, ทัศนคติ และความรู้กับระดับตะกั่วในเลือดของคนงานในโรงงานรีไซเคิลแบตเตอรี่ จ.นครสวรรค์",การจัดการของเสียภายในโรงงาน,2551,805863,กรมควบคุมโรค,สำนักงานป้องกันควบคุมโรคที่ 3 นครสวรรค์,กระทรวงสาธารณสุข ,ภาครัฐบาล,ผู้ชาย,52,45-54,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,นนทบุรี,ภาคกลาง,มลพิษสิ่งแวดล้อม,ไม่พบข้อมูล
17,2146,การเพิ่มมูลค่าวัสดุเหลือใช้จากสับปะรด,การแปรรูปขยะมูลฝอย,2551,36473,มหาวิทยาลัยทักษิณ ,คณะวิทยาศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,52,45-54,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,พัทลุง,ภาคใต้,สาขาวิทยาศาสตร์เคมีและเภสัชศาสตร์,อาจารย์
18,2344,การถ่ายทอดเทคโนโลยีจากโครงการเพิ่มมูลค่าวัสดุเหลือใช้จากสับปะรด,การแปรรูปขยะมูลฝอย,2551,36455,มหาวิทยาลัยทักษิณ ,คณะวิทยาศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,49,45-54,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,พัทลุง,ภาคใต้,เคมีวิเคราะห์ การสอนเคมี การบริหารจัดการรายวิชาศึกษาทั่วไป,อาจารย์
19,2579,มีเทนจากหัวมันและกากมันสำปะหลังเพื่อใช้เป็นแหล่งพลังงาน,การแปรรูปขยะมูลฝอย,2551,25226,มหาวิทยาลัยเทคโนโลยีสุรนารี,สำนักวิชาวิทยาศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,61,55-64,ไม่มีสิทธิบัตร,มีผลงานตีพิมพ์,มี ,ไม่ใช่นักวิจัยรุ่นใหม่,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,พันธุศาสตร์และสรีรวิทยาของจุลินทรีย์ การหมักของจุลินทรีย์ (แบคทีเรียและเชื้อรา) ความหลากหลายของชนิดและการใช้ประโยชน์ของแบคทีเรียกรดแล็กติกและเชื้อรา เพื่อผลิตผลิตภัณฑ์อาหาร พลาสติกชีวภาพ พอลิเมอร์ชีวภาพ และพลังงาน,ไม่พบข้อมูล
20,2620,การผลิตปุ๋ยหมักจากเศษอาหารด้วยระบบถังปิดเติมอากาศแบบถังหมุน,การแปรรูปขยะมูลฝอย,2551,32446,มหาวิทยาลัยแม่โจ้ ,วิศวกรรมและอุตสาหกรรมการเกษตร,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้ชาย,62,55-64,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,เชียงใหม่,ภาคเหนือ,"สาขาอุตสาหกรรมเกษตร,สาขาวิศวกรรมศาสตร์,สาขาเกษตรศาสตร์และทรัพยากรธรรมชาติ",ไม่พบข้อมูล
21,2670,การแปรรูปกากมันสำปะหลัง จากอุตสาหกรรมการผลิตแป้งมันสำปะหลัง เพื่อใช้ในการผลิตก๊าซชีวภาพ โดยการประยุกต์ใช้หลักทฤษฏีใหม่ และปรัชญาเศรษฐกิจพอเพียง เพื่อการพัฒนาและพึ่งพาตนเองของชุมชนในเขตจังหวัดสกลนครอย่างยั่งยืน,การแปรรูปขยะมูลฝอย,2551,19711,มหาวิทยาลัยราชภัฏสกลนคร,คณะวิทยาศาสตร์และเทคโนโลยี,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้ชาย,45,45-54,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,นักวิจัยรุ่นใหม่,สกลนคร,ภาคตะวันออกเฉียงเหนือ,-,ไม่พบข้อมูล
22,2738,การวิจัยเพื่อพัฒนาพลังงานเชื้อเพลิงชีวภาพจากสบู่ดำ,การแปรรูปขยะมูลฝอย,2551,26487,มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิ,คณะเทคโนโลยีการเกษตรและอุตสาหกรรมเกษตร,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้ชาย,65,65 ปีขึ้นไป,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,พระนครศรีอยุธยา,ภาคกลาง,-,ไม่พบข้อมูล
23,2951,โครงการศึกษาวิจัยการจัดการธาตุอาหารพืชอย่างผสมผสานในการผลิตพืช,นวัตกรรมและเทคโนโลยีการบริหารจัดการขยะ,2551,46211,กรมวิชาการเกษตร ,กองวิจัยพัฒนาปัจจัยการผลิตทางการเกษตร,กระทรวงเกษตรและสหกรณ์ ,ภาครัฐบาล,ผู้หญิง,45,45-54,ไม่มีสิทธิบัตร,มีผลงานตีพิมพ์,มี ,นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,"ปฐพีวิทยาความอุดมสมบูรณ์ของดิน, จุลินทรีย์ดินที่มีประโยชน์ทางการเกษตร, จุลินทรีย์ละลายฟอสเฟต,จุลินทรีย์ย่อยสลายวัสดุอินทรีย์",ไม่พบข้อมูล
24,3033,การพัฒนาปาร์ติเกิลบอร์ดจากวัสดุเหลือใช้ทางการเกษตร,การนำทรัพยากรที่ใช้แล้วนำกลับมาใช้ใหม่,2551,33360,มหาวิทยาลัยอุบลราชธานี ,คณะวิศวกรรมศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้ชาย,45,45-54,ไม่มีสิทธิบัตร,มีผลงานตีพิมพ์,มี ,นักวิจัยรุ่นใหม่,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,"พลังงานทดแทน,เทคโนโลยีการอบแห้ง,เทคโนโลยีพลังงาน",ไม่มีตำแหน่งทางวิชาการ
25,3046,การเสริมแรงพอลิเมอร์ผสมระหว่างพอลีเอทธีลีนเทอเรพทาเลทและพอลีเอทธีลีนหนาแน่นสูงที่ผ่านการใช้งานแล้วเพื่อใช้ในงานก่อสร้าง,การนำทรัพยากรที่ใช้แล้วนำกลับมาใช้ใหม่,2551,33181,มหาวิทยาลัยเทคโนโลยีสุรนารี,สำนักวิชาวิศวกรรมศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,51,45-54,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,"Polymer blends, Polymer composites",ไม่มีตำแหน่งทางวิชาการ
26,3055,การกำจัดขยะอินทรีย์ด้วยการหมัก,การแปรรูปขยะมูลฝอย,2551,34291,มหาวิทยาลัยอุบลราชธานี ,คณะวิศวกรรมศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้ชาย,56,55-64,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,สาขาวิศวกรรมศาสตร์,ผู้ช่วยศาสตราจารย์
27,3078,การเตรียมพอลิเมอร์คอมโพสิทจากเปลือกไข่ไก่,นวัตกรรมและเทคโนโลยีการบริหารจัดการขยะ,2551,25802,มหาวิทยาลัยเทคโนโลยีสุรนารี,สำนักวิชาวิศวกรรมศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,53,45-54,ไม่มีสิทธิบัตร,มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,"Composite Interface, Natural fiber modification, Functional filler, Thermoplastic composite",ศาสตราจารย์พิเศษ
28,3186,โครงการศึกษาการใช้พลังงานจากชีวมวล,การแปรรูปขยะมูลฝอย,2551,19060,กรมวิชาการเกษตร ,ศูนย์วิจัยเกษตรวิศวกรรมขอนแก่น,กระทรวงเกษตรและสหกรณ์ ,ภาครัฐบาล,ผู้ชาย,66,65 ปีขึ้นไป,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,-,ไม่พบข้อมูล
29,3274,แนวทางการแก้ปัญหาเตาเผาขยะติดเชื้อในพื้นที่ภาคตะวันออกเฉียงเหนือตอนบน,การเปลี่ยนแปลงพฤติกรรมการทิ้งขยะ,2551,33565,มหาวิทยาลัยอุบลราชธานี ,คณะวิศวกรรมศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้ชาย,35,35-44,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,นักวิจัยรุ่นใหม่,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,สาขาวิศวกรรมศาสตร์,ไม่พบข้อมูล
30,3340,แผนงานวิจัยและพัฒนาดินและปุ๋ย,การเปลี่ยนแปลงพฤติกรรมการทิ้งขยะ,2551,19102,กรมวิชาการเกษตร ,กรมวิชาการเกษตร,กระทรวงเกษตรและสหกรณ์ ,ภาครัฐบาล,ผู้ชาย,73,65 ปีขึ้นไป,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,-,ไม่พบข้อมูล
31,3359,การพัฒนาขีดความสามารถในการสร้างชิ้นงานหัตถกรรม แก้วศิลป์ เพื่อสร้างความเข้มแข็งทางเศรษฐกิจระดับชุมชน,การเปลี่ยนแปลงพฤติกรรมการทิ้งขยะ,2551,33237,มหาวิทยาลัยอุบลราชธานี ,คณะวิทยาศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,61,55-64,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,"สาขาวิทยาศาสตร์การแพทย์ ,สาขาวิทยาศาสตร์กายภาพและคณิตศาสตร์",ไม่พบข้อมูล
32,3410,อัตราการใช้วัสดุเหลือใช้จากการเกษตรที่ปูเป็นพื้นคอกสุกรเพื่อปรับปรุงดินในแปลงผลิตผักคะน้า,การนำทรัพยากรที่ใช้แล้วนำกลับมาใช้ใหม่,2551,21437,มหาวิทยาลัยธรรมศาสตร์ ,คณะวิทยาศาสตร์และเทคโนโลยี,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้ชาย,71,65 ปีขึ้นไป,ไม่มีสิทธิบัตร,มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,ปทุมธานี,ภาคกลาง,-,ไม่พบข้อมูล
33,3421,โครงการวิจัยและพัฒนาเทคนิคการตรวจสอบรับรองปัจจัยการผลิตทางการเกษตร : สารพิษตกค้าง ปุ๋ย ดิน น้ำ สารสกัด ฮอร์โมน และผลิตภัณฑ์วัตถุมีพิษทางการเกษตร,นวัตกรรมและเทคโนโลยีการบริหารจัดการขยะ,2551,44246,กรมวิชาการเกษตร ,กองวิจัยพัฒนาปัจจัยการผลิตทางการเกษตร,กระทรวงเกษตรและสหกรณ์ ,ภาครัฐบาล,ผู้หญิง,69,65 ปีขึ้นไป,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,Agriculture not elsewhere classified,ไม่พบข้อมูล
34,3593,การศึกษาศักยภาพการลดการปลดปล่อยก๊าซเรือนกระจกจากการผลิตไฟฟ้าด้วยพลังงานชีวมวล,การแปรรูปขยะมูลฝอย,2551,21709,มหาวิทยาลัยรามคำแหง ,สถาบันวิจัยและพัฒนา,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้หญิง,51,45-54,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,มี ,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,"การคาดประมาณสภาพอากาศรายฤดูกาล การประเมินผลกระทบการเปลี่ยนแปลงภูมิอากาศต่อการบริหารจัดการลุ่มน้ำ,ภาระวิกฤติของซัลเฟอร์ กรประเมินผลกระทบสิ่งแวดล้อม การประเมินศักยภาพพลังงานทดแทน การย่อส่วนแบบจำลองภูมิอากาศโลก ",ผู้ช่วยศาสตราจารย์
35,3594,แผนงานวิจัยและพัฒนาพืชทดแทนพลังงาน,การแปรรูปขยะมูลฝอย,2551,34414,กรมวิชาการเกษตร ,ศูนย์วิจัยปาล์มน้ำมันสุราษฎร์ธานี,กระทรวงเกษตรและสหกรณ์ ,ภาครัฐบาล,ผู้ชาย,60,55-64,ไม่มีสิทธิบัตร,ไม่มีผลงานตีพิมพ์,ไม่มี,ไม่ใช่นักวิจัยรุ่นใหม่,กรุงเทพมหานคร,ภาคกลาง,-,ไม่พบข้อมูล
36,3841,การใช้วัสดุเหลือใช้จากการเกษตรควบคุมมลภาวะการเลี้ยงสุกรและการนำไปใช้ปรับปรุงดินเพาะปลูกพืชในแนวเศรษฐกิจพอเพียง,การนำทรัพยากรที่ใช้แล้วนำกลับมาใช้ใหม่,2551,21436,มหาวิทยาลัยธรรมศาสตร์ ,คณะนิติศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้ชาย,40,35-44,ไม่มีสิทธิบัตร,มีผลงานตีพิมพ์,ไม่มี,นักวิจัยรุ่นใหม่,ปทุมธานี,ภาคกลาง,-,ไม่พบข้อมูล
37,3847,ความสูงของการกองวัสดุเหลือใช้จากการเกษตรปูเป็นพื้นคอกเลี้ยงสุกรขุนต่อการเจริญเติบโตและประสิทธิภาพการเปลี่ยนอาหารของสุกรลูกผสมพันธุ์ต่างประเทศและลูกผสมพันธุ์พื้นเมือง-ต่างประเทศ,การนำทรัพยากรที่ใช้แล้วนำกลับมาใช้ใหม่,2551,21436,มหาวิทยาลัยธรรมศาสตร์ ,คณะนิติศาสตร์,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,ภาคอุดมศึกษา,ผู้ชาย,40,35-44,ไม่มีสิทธิบัตร,มีผลงานตีพิมพ์,ไม่มี,นักวิจัยรุ่นใหม่,ปทุมธานี,ภาคกลาง,-,ไม่พบข้อมูล
